id,value
IncNS,
IncNS.ProbSpec,
IncNS.ProbSpec.Dimensions,
IncNS.ProbSpec.Dimensions.2D,100
IncNS.ProbSpec.Dimensions.2D.QuasiDimensions,100
IncNS.ProbSpec.Dimensions.2D.QuasiDimensions.HomogoneousModes,100
IncNS.ProbSpec.Dimensions.2D.QuasiDimensions.Length,100
IncNS.ProbSpec.Dimensions.3D,200
IncNS.ProbSpec.Dimensions.3D.QuasiDimensions,124
IncNS.ProbSpec.Dimensions.3D.QuasiDimensions.HomogoneousModes,100
IncNS.ProbSpec.Dimensions.3D.QuasiDimensions.Length,100
IncNS.ProbSpec.ReynoldsNumber,
IncNS.ProbSpec.Geometry,
IncNS.ProbSpec.Geometry.BrowseFile,
IncNS.ProbSpec.Geometry.BrowseFile.BoundaryRegions,
IncNS.ProbSpec.BoundaryConditions,
IncNS.ProbSpec.BoundaryConditions.BoundaryRegions,
IncNS.ProbSpec.BoundaryConditions.BoundaryConditionReference,
IncNS.ProbSpec.BoundaryConditions.BoundaryConditionReference.Field,
IncNS.ProbSpec.BoundaryConditions.BoundaryConditionReference.Field.ConditionType,
IncNS.ProbSpec.BoundaryConditions.BoundaryConditionReference.Field.ConditionType.Dirichlet,
IncNS.ProbSpec.BoundaryConditions.BoundaryConditionReference.Field.ConditionType.Neumann,
IncNS.ProbSpec.BoundaryConditions.BoundaryConditionReference.Field.ConditionType.Robin,
IncNS.ProbSpec.BoundaryConditions.BoundaryConditionReference.Field.ConditionType.Periodic,
IncNS.ProbSpec.BoundaryConditions.BoundaryConditionReference.Field.ConditionOptions,
IncNS.ProbSpec.BoundaryConditions.BoundaryConditionReference.Field.ConditionOptions.ConditionValue,
IncNS.ProbSpec.BoundaryConditions.BoundaryConditionReference.Field.ConditionOptions.UserDefinedType,
IncNS.ProbSpec.BoundaryConditions.BoundaryConditionReference.Field.ConditionOptions.PrimaryCoefficient,
IncNS.ProbSpec.InitialConditions,
IncNS.ProbSpec.InitialConditions.Field,
IncNS.ProbSpec.InitialConditions.Field.Expression,
IncNS.ProbSpec.InitialConditions.Field.Field,
IncNS.NumSpec,
IncNS.NumSpec.SimulationType,
IncNS.NumSpec.SimulationType.DirectNumSim,
IncNS.NumSpec.SimulationType.DirectNumSim.TimeIntegration,
IncNS.NumSpec.SimulationType.DirectNumSim.TimeIntegration.Timing,
IncNS.NumSpec.SimulationType.DirectNumSim.TimeIntegration.TimeIntegrationMethod,
IncNS.NumSpec.SimulationType.DirectNumSim.Driver,
IncNS.NumSpec.SimulationType.DirectNumSim.Driver.Standard,
IncNS.NumSpec.SimulationType.DirectNumSim.Driver.Adaptive,
